Account No,Customer Name,Phone,Credit Limit,Outstanding Balance,Salesman,Payment Terms,TRN
CN-02445,Capital Fit-out Co,0576231090,100000,17315.67,Mahmoud,90 days,102303887687705
CN-02446,Oasis Interiors LLC,0555384867,25000,22537.64,Mahmoud,COD,106603225254930
CN-02447,Capital Construction Co,0538164957,10000,AED 20166.96,Anwar,45 days,
CN-02448,Desert Trading Est,0599613868,,26930.01,Anwar,60 days,102464825777463
CN-02449,Marina Construction Co,0573004489,25000,"56,836.18",Suresh,45 days,
CN-02450,Al Manara Real Estate Development,0586646967,100000,"28.542,31",Suresh,45 days,194150017052660
CN-02451,Falcon Maintenance Co,0565524202,,52769.03,Rakesh,30 days,144821926946573
CN-02452,Capital Contracting LLC,0591063010,,23280.30,Anwar,90 days,146612337408112
CN-02453,Modern Construction Co,0520107429,25000,AED 31643.26,Rakesh,90 days,103903493849702
CN-02454,Pearl Real Estate Development,0544711333,,44056.47,Joseph,45 days,195171096863755
CN-02455,Falcon Maintenance Co,0532047438,25000,"1,981.62",Suresh,COD,186070835201309
CN-02456,Gulf Builders LLC,0588459392,50000,"38.607,44",Suresh,60 days,146419379151673
CN-02457,Oasis Interiors LLC,0595134296,50000,28107.52,Suresh,30 days,147695898148086
CN-02458,Union Construction Co,0522847221,10000,4593.57,Joseph,COD,179063155450863
CN-02459,Oasis Interiors LLC,0572065620,10000,AED 5700.55,Mahmoud,60 days,169490203900980
CN-02460,Meraas Fit-out Co,0555225301,100000,46038.50,Rakesh,30 days,193599237787651
CN-02461,Pearl Construction Co,0555898042,10000,"25,762.95",Joseph,COD,195544763413723
CN-02462,Marina Real Estate Development,0574623652,25000,"54.505,69",Joseph,Cash,160086927941105
CN-02463,Modern Fit-out Co,0549787028,100000,58267.59,Suresh,60 days,155012803331983
CN-02464,Prime Construction Co,0599139019,100000,17635.50,Anwar,30 days,187406233908334
CN-02465,Oasis MEP Services,0588301230,,AED 43493.99,Suresh,45 days,177906036439702
CN-02466,Modern Engineering Consultants,0522092208,50000,3760.93,Khaled,90 days,152802242143632
CN-02467,Meraas Trading Est,0593684261,10000,"56,030.84",Anwar,Cash,199357734555361
CN-02468,Desert Contracting LLC,0549141508,50000,"14.400,49",Anwar,COD,144852284202174
CN-02469,Marina Trading Est,0522129340,50000,42705.95,Rakesh,Cash,177665659349770
CN-02470,Reliable Maintenance Co,0514381602,25000,13441.05,Anwar,30 days,179597419860125
CN-02471,National Contracting LLC,0576948645,25000,AED 39135.01,Anwar,90 days,124557905509930
CN-02472,Prime Real Estate Development,0573860270,,54267.61,Mahmoud,COD,137239003623302
CN-02473,Meraas Contracting LLC,0561471166,100000,"27,908.44",Khaled,30 days,124949697845256
CN-02474,Prime Contracting LLC,0598660338,25000,"35.871,14",Mahmoud,90 days,161400683691744
CN-02475,Gulf Maintenance Co,0513845674,100000,13611.15,Anwar,Cash,140877431419057
CN-02476,Emirates Maintenance Co,0589015880,10000,19149.89,Joseph,Cash,199492577519043
CN-02477,Union Builders LLC,0578530707,100000,AED 49838.57,Khaled,90 days,172183106949108
CN-02478,Falcon Real Estate Development,0591093058,10000,29965.12,Khaled,90 days,167858696794976
CN-02479,Al Manara Real Estate Development,0579878495,,"43,113.70",Joseph,60 days,104518862293756
CN-02480,Oasis Fit-out Co,0553120189,25000,"44.592,08",Anwar,Cash,127569489965139
CN-02481,Capital Contracting LLC,0585708407,25000,40591.93,Rakesh,Cash,127428790886709
CN-02482,Gulf Maintenance Co,0527969932,50000,23473.18,Anwar,30 days,173418211443299
CN-02483,Prime Contracting LLC,0560251178,10000,AED 49984.69,Rakesh,60 days,136201058320278
CN-02484,Falcon Engineering Consultants,0579797362,,35859.67,Anwar,Cash,162173798540280
CN-02485,Desert MEP Services,0519422146,10000,"52,740.79",Mahmoud,Cash,144965016207962
CN-02486,Marina Construction Co,0511936860,10000,"45.767,19",Joseph,COD,161528084288464
CN-02487,Reliable Trading Est,0537954193,50000,16715.20,Anwar,Cash,117937939732963
CN-02488,Al Reem Builders LLC,0567240226,50000,49298.61,Rakesh,90 days,
CN-02489,Falcon Trading Est,0580191399,50000,AED 44818.90,Suresh,30 days,117371390380338
CN-02490,Gulf Maintenance Co,0573219572,,4106.47,Joseph,30 days,
CN-02491,Emirates Fit-out Co,0516741647,100000,"35,383.02",Mahmoud,45 days,
CN-02492,Al Manara Real Estate Development,0540154602,50000,"44.706,10",Joseph,30 days,167805655555591
CN-02493,Oasis Interiors LLC,0547610155,50000,48584.85,Khaled,60 days,199192747302580
CN-02494,Al Reem Builders LLC,0578576198,,12459.90,Anwar,COD,104859444290230
CN-02495,Emirates Construction Co,0578919163,,AED 36108.95,Joseph,COD,181493322131378
CN-02496,Marina Construction Co,0580577011,,8273.09,Rakesh,Cash,154343597489869
CN-02497,Capital Engineering Consultants,0512380120,10000,"17,464.49",Anwar,45 days,110797276445609
CN-02498,Desert Construction Co,0543869845,10000,"17.135,66",Mahmoud,Cash,104660750579268
CN-02499,Al Reem Interiors LLC,0535478086,25000,52078.18,Khaled,60 days,
CN-02500,Al Manara Construction Co,0541204916,25000,27284.25,Khaled,30 days,197608480721624
CN-02501,Meraas Real Estate Development,0569308298,50000,AED 57787.46,Anwar,COD,192918222672583
CN-02502,Modern Fit-out Co,0551432094,,17790.42,Joseph,60 days,197487304732306
CN-02503,Emirates Interiors LLC,0568814027,100000,"11,608.65",Rakesh,30 days,130591862299807
CN-02504,Marina Engineering Consultants,0582288231,10000,"23.583,61",Joseph,30 days,160110788346027
CN-02505,Oasis Contracting LLC,0580690172,10000,17486.87,Khaled,45 days,176029066098814
CN-02506,National Fit-out Co,0533087234,,16086.28,Mahmoud,30 days,
CN-02507,Falcon Contracting LLC,0565325766,,AED 27264.71,Rakesh,45 days,
CN-02508,Union Trading Est,0511561591,100000,39047.75,Mahmoud,COD,108940098292845
CN-02509,Capital Trading Est,0516956793,100000,"13,322.46",Anwar,30 days,
CN-02510,Reliable Maintenance Co,0548740769,,"43.771,14",Anwar,COD,124940803828043
CN-02511,National Engineering Consultants,0548462963,,21073.87,Mahmoud,45 days,135647031771416
CN-02512,Capital Builders LLC,0520356268,50000,52785.51,Mahmoud,45 days,157344312865267
CN-02513,Marina Interiors LLC,0511733902,25000,AED 47358.61,Joseph,Cash,125857148331576
CN-02514,National Contracting LLC,0528705451,50000,53755.81,Anwar,60 days,127394793102424
CN-02515,Meraas MEP Services,0580282736,,"33,841.80",Anwar,90 days,130499961630164
CN-02516,Marina Maintenance Co,0581368400,100000,"58.529,71",Khaled,Cash,136030638000783
CN-02517,Al Reem Contracting LLC,0550894050,25000,9849.30,Khaled,60 days,178459176026067
CN-02518,Prime Builders LLC,0577498233,,54458.44,Rakesh,45 days,177772770964745
CN-02519,Pearl Engineering Consultants,0582587945,25000,AED 27047.56,Mahmoud,30 days,127744655207701
CN-02520,Capital Fit-out Co,0521628750,,9937.00,Rakesh,45 days,148310096504684
CN-02521,National Maintenance Co,0544437729,100000,"24,431.72",Khaled,30 days,152683722618543
CN-02522,Reliable Engineering Consultants,0572460175,50000,"56.380,86",Suresh,90 days,181870239823069
CN-02523,Desert Contracting LLC,0528812622,100000,11881.55,Suresh,Cash,119014077416306
CN-02524,Emirates Builders LLC,0576632596,,45795.78,Mahmoud,COD,126173903335610
CN-02525,Desert Trading Est,0593223909,10000,AED 6376.39,Khaled,90 days,188408136477582
CN-02526,Falcon Builders LLC,0533983904,10000,46979.18,Joseph,45 days,133518635773417
CN-02527,Falcon Contracting LLC,0584084910,10000,"36,991.83",Khaled,90 days,179117294950953
CN-02528,Desert Contracting LLC,0565263945,,"50.641,87",Suresh,90 days,178857607689758
CN-02529,Desert Builders LLC,0594947497,,36936.91,Joseph,90 days,110986486933639
CN-02530,Emirates Fit-out Co,0530515512,50000,-,Mahmoud,30 days,191202038271951
CN-02531,Prime Fit-out Co,0561906254,50000,AED 52967.07,Joseph,COD,196551803903703
CN-02532,Prime Interiors LLC,0532980313,50000,29973.51,Rakesh,90 days,183061393446201
CN-02533,Gulf Real Estate Development,0558083619,50000,"29,368.88",Suresh,COD,129122490411722
CN-02534,Union Engineering Consultants,0511237651,25000,"26.119,69",Khaled,45 days,112534940818792
CN-02535,Falcon Engineering Consultants,0584394628,25000,11494.36,Joseph,Cash,166311458725328
CN-02536,Pearl MEP Services,0556188362,,19501.85,Mahmoud,45 days,148163643326455
CN-02537,Modern Maintenance Co,0574484414,50000,AED 52934.09,Mahmoud,60 days,187357008437116
CN-02538,Pearl Interiors LLC,0555911228,25000,967.34,Rakesh,Cash,133099856253950
CN-02539,Reliable Interiors LLC,0519015124,100000,"35,104.98",Rakesh,45 days,196059471950535
CN-02540,Modern Trading Est,0528991267,100000,"13.305,85",Joseph,COD,173317750902260
CN-02541,Emirates Contracting LLC,0558240222,100000,5244.88,Khaled,45 days,167935571828783
CN-02542,Al Reem Contracting LLC,0528202299,25000,57307.28,Anwar,90 days,104919951345268
CN-02543,Reliable Contracting LLC,0563629227,10000,AED 23314.96,Joseph,60 days,135861023195767
CN-02544,Union Contracting LLC,0579045598,,55931.68,Anwar,90 days,183330298858118
CN-02545,Reliable Trading Est,0557885734,25000,"55,413.03",Suresh,60 days,131796056195501
CN-02546,Modern Fit-out Co,0510759344,50000,"58.487,04",Suresh,30 days,137002001418958
CN-02547,Pearl Construction Co,0568489420,,2325.07,Rakesh,30 days,157777846081092
CN-02548,Prime Contracting LLC,0575180306,25000,19636.13,Rakesh,Cash,117302906650819
CN-02549,Oasis Real Estate Development,0557695390,50000,AED 8819.52,Joseph,COD,126500914760756
CN-02550,Modern Contracting LLC,0511600874,25000,32416.13,Joseph,Cash,
CN-02551,Meraas Contracting LLC,0541643903,25000,"40,174.32",Anwar,Cash,102681965651827
CN-02552,Union Interiors LLC,0541889719,25000,"5.904,24",Rakesh,90 days,199143059440591
CN-02553,Pearl Maintenance Co,0582958299,25000,25550.17,Rakesh,45 days,119821291771580
CN-02554,Al Reem Trading Est,0565177884,,-,Khaled,30 days,184671109864294
CN-02555,Al Reem MEP Services,0533527935,100000,AED 41352.75,Mahmoud,45 days,144407098328991
CN-02556,Meraas Interiors LLC,0573545614,50000,14940.39,Mahmoud,COD,142145665086390
CN-02557,Reliable Fit-out Co,0577041303,10000,"18,156.07",Mahmoud,60 days,140031687263457
CN-02558,Reliable MEP Services,0559914442,100000,"28.293,71",Suresh,COD,167822315299379
CN-02559,Prime Fit-out Co,0552585324,10000,31375.66,Rakesh,90 days,151178941847008
CN-02560,Gulf Construction Co,0536330504,25000,14184.18,Joseph,30 days,159332241202787
CN-02561,Al Manara Contracting LLC,0531744760,,AED 59823.97,Suresh,COD,125543051670511
CN-02562,National Maintenance Co,0548806718,10000,56040.77,Anwar,30 days,151693929019096
CN-02563,Reliable MEP Services,0577941351,25000,"5,598.45",Joseph,45 days,132429747981512
CN-02564,Al Reem Builders LLC,0512751672,25000,"20.567,18",Khaled,60 days,119729932963460
CN-02565,Capital Real Estate Development,0566363177,100000,49601.83,Mahmoud,45 days,169758526509661
CN-02566,Desert Builders LLC,0545948827,25000,31144.26,Rakesh,COD,
CN-02567,Al Reem Builders LLC,0575573418,,AED 10659.28,Suresh,45 days,146360255649584
CN-02568,Marina Fit-out Co,0589476437,25000,31279.81,Anwar,45 days,159613200916309
CN-02569,Al Manara Construction Co,0595509604,10000,"42,290.31",Suresh,Cash,101099556234488
CN-02570,Meraas Fit-out Co,0556022996,10000,"35.518,54",Anwar,90 days,171113954437391
CN-02571,Al Reem Interiors LLC,0556160140,25000,59456.64,Khaled,COD,109554067553333
CN-02572,Desert Maintenance Co,0518474219,50000,23281.06,Rakesh,60 days,145959869753371
CN-02573,Capital Trading Est,0588660563,50000,AED 44255.66,Suresh,Cash,132609848157847
CN-02574,Pearl Maintenance Co,0540357912,50000,2275.57,Khaled,COD,183733526904014
CN-02575,Marina Contracting LLC,0548585632,25000,"23,196.52",Mahmoud,90 days,112616335285505
CN-02576,Falcon Trading Est,0519161314,25000,"47.510,52",Rakesh,60 days,113871781544136
CN-02577,Union Engineering Consultants,0552046982,50000,24539.67,Anwar,45 days,145687566043656
CN-02578,Desert Contracting LLC,0515880448,50000,57161.76,Mahmoud,30 days,180354395920407
CN-02579,Falcon Real Estate Development,0574976703,100000,AED 44761.14,Anwar,30 days,129421237851382
CN-02580,National Maintenance Co,0531112957,10000,8184.86,Rakesh,Cash,115239001695396
CN-02581,National Fit-out Co,0527372150,10000,"55,822.94",Joseph,Cash,126014724566461
CN-02582,Union MEP Services,0520215091,,"26.049,09",Joseph,45 days,171619646222657
CN-02583,Capital Interiors LLC,0599731934,,24399.29,Joseph,30 days,178484198988810
CN-02584,Prime Builders LLC,0588736600,100000,41758.61,Mahmoud,60 days,185843178198084
CN-02585,Modern Contracting LLC,0525987786,,AED 41195.94,Mahmoud,60 days,195230718093503
CN-02586,Gulf Real Estate Development,0518585258,25000,21627.75,Suresh,45 days,188586111373721
CN-02587,Union MEP Services,0527057290,25000,"39,642.39",Joseph,Cash,179239668716636
CN-02588,National Contracting LLC,0590607824,10000,"44.189,88",Rakesh,60 days,143437502479628
CN-02589,Falcon MEP Services,0576708810,10000,4674.22,Khaled,45 days,143194252989079
CN-02590,Falcon Trading Est,0537668276,10000,16288.17,Khaled,45 days,188445818490405
CN-02591,Capital Engineering Consultants,0518081352,25000,AED 7223.94,Khaled,30 days,107251645061524
CN-02592,Al Manara Fit-out Co,0576421017,10000,8587.39,Joseph,60 days,155736299686135
CN-02593,Al Reem Interiors LLC,0571575446,25000,"51,953.71",Suresh,30 days,126262439406362
CN-02594,Capital Engineering Consultants,0517706118,10000,"24.488,06",Rakesh,45 days,133484351628890
CN-02595,Gulf Maintenance Co,0520110570,50000,10729.34,Mahmoud,Cash,
CN-02596,Prime Contracting LLC,0514612077,50000,45538.64,Suresh,45 days,144486342378048
CN-02597,Marina Trading Est,0548926395,100000,AED 6797.65,Rakesh,COD,157040289664557
CN-02598,Desert Interiors LLC,0510240088,50000,47047.66,Khaled,60 days,198051879037873
CN-02599,Al Reem Maintenance Co,0565488324,100000,"57,914.59",Rakesh,60 days,178939411420390
CN-02600,National Contracting LLC,0592554979,50000,"12.867,96",Mahmoud,60 days,128162011059104
CN-02601,Prime MEP Services,0522759637,100000,24771.95,Mahmoud,90 days,184343302492489
CN-02602,Union Trading Est,0555687742,10000,59764.41,Suresh,45 days,136142370944130
CN-02603,Union Interiors LLC,0510813657,25000,AED 10555.33,Joseph,30 days,174533779129478
CN-02604,Pearl MEP Services,0575188324,100000,21092.15,Joseph,60 days,
CN-02605,Falcon Fit-out Co,0519659925,,"46,527.35",Mahmoud,Cash,125532575524002
CN-02606,Capital Maintenance Co,0510914366,25000,"578,05",Rakesh,Cash,152065603442572
CN-02607,Falcon Contracting LLC,0543337722,10000,10768.21,Anwar,Cash,130494358393465
CN-02608,Modern Trading Est,0552501553,100000,56149.80,Mahmoud,90 days,158859095830062
CN-02609,National Interiors LLC,0517019546,50000,AED 42493.67,Rakesh,30 days,107012690129239
CN-02610,Falcon Maintenance Co,0541677532,100000,33867.22,Mahmoud,45 days,138297039469974
CN-02611,Reliable Trading Est,0533579481,10000,"33,836.00",Khaled,90 days,125017075037859
CN-02612,Falcon Engineering Consultants,0537242083,50000,"47.756,23",Rakesh,Cash,125456138587558
CN-02613,National Real Estate Development,0568369440,100000,47769.66,Suresh,30 days,
CN-02614,Falcon Construction Co,0563510507,50000,48177.83,Rakesh,45 days,171735689385937
CN-02615,Capital MEP Services,0545320296,25000,AED 44874.66,Suresh,COD,145629682184723
CN-02616,Union Contracting LLC,0592262525,50000,28462.55,Rakesh,Cash,187065617798439
CN-02617,Pearl Trading Est,0533753822,25000,"23,879.78",Joseph,30 days,104926547247533
CN-02618,Al Manara Interiors LLC,0541848702,10000,"29.836,54",Joseph,90 days,118754400361937
CN-02619,Modern Maintenance Co,0544280480,,31274.25,Khaled,COD,193536931730399
CN-02620,National Trading Est,0588370651,,31774.77,Anwar,90 days,184096837739588
CN-02621,Al Manara Construction Co,0587546879,10000,AED 27037.91,Joseph,Cash,106777065241036
CN-02622,Capital Construction Co,0548967298,50000,40911.38,Khaled,30 days,111699261510404
CN-02623,Falcon Maintenance Co,0522009250,10000,"36,067.53",Joseph,COD,199133638246903
CN-02624,Modern Interiors LLC,0512880572,,"1.938,81",Khaled,60 days,138031203704870
CN-02625,Marina Engineering Consultants,0563588268,10000,36343.67,Mahmoud,30 days,172139888478763
CN-02626,Al Manara Trading Est,0532982342,25000,40425.59,Mahmoud,45 days,139650077936579
CN-02627,Al Reem MEP Services,0571907403,50000,AED 9859.89,Rakesh,90 days,137190618599485
CN-02628,Al Manara Maintenance Co,0589791315,50000,27491.90,Khaled,Cash,173497530114157
CN-02629,Emirates Engineering Consultants,0540530455,10000,"55,284.14",Joseph,COD,126395744218435
CN-02630,Modern Trading Est,0590228550,,"56.445,99",Mahmoud,Cash,
CN-02631,Oasis Maintenance Co,0583301381,10000,38933.02,Rakesh,60 days,175117759542909
CN-02632,Capital Real Estate Development,0563772188,100000,22176.16,Khaled,90 days,
CN-02633,Meraas Trading Est,0555781722,,AED 23248.77,Khaled,Cash,117855883418138
CN-02634,Capital Trading Est,0574613498,,14361.71,Khaled,45 days,191584369694380
CN-02635,Union Maintenance Co,0598296582,100000,"29,517.00",Khaled,45 days,117225736584969
CN-02636,Modern Contracting LLC,0550261322,,"51.520,67",Joseph,60 days,148877926437051
CN-02637,Reliable Maintenance Co,0560505617,10000,50373.98,Joseph,Cash,115751408079767
CN-02638,Union Fit-out Co,0576323260,25000,22290.23,Suresh,Cash,129975111679391
CN-02639,Gulf MEP Services,0512889766,,AED 28864.80,Rakesh,60 days,
CN-02640,Falcon Engineering Consultants,0565900015,10000,48625.88,Khaled,COD,117132817308357
CN-02641,Al Manara Builders LLC,0579107221,100000,"51,007.01",Suresh,90 days,178903753717743
CN-02642,Al Manara Engineering Consultants,0547270895,50000,"48.516,62",Anwar,90 days,131626008036770
CN-02643,Pearl Construction Co,0524892726,25000,1181.01,Suresh,60 days,128012667262068
CN-02644,Oasis Maintenance Co,0576588789,25000,53433.72,Mahmoud,45 days,145284459985899
CN-02645,Gulf Fit-out Co,0515570615,100000,AED 17863.30,Suresh,90 days,195778358143555
CN-02646,Union Interiors LLC,0560990724,10000,11436.59,Mahmoud,60 days,155005252979553
CN-02647,Prime MEP Services,0597504386,,"45,445.98",Suresh,30 days,199530639498225
CN-02648,Prime Maintenance Co,0541089863,25000,"12.807,64",Khaled,90 days,
CN-02649,Reliable Construction Co,0528718124,50000,32704.83,Mahmoud,30 days,109113731984528
CN-02650,Union Maintenance Co,0567069996,10000,51336.32,Khaled,Cash,132468808081340
CN-02651,Al Reem Construction Co,0573937101,25000,AED 39915.88,Mahmoud,Cash,197029548603092
CN-02652,Pearl Builders LLC,0531449578,100000,20359.79,Anwar,Cash,100764006043087
CN-02653,Prime MEP Services,0534505679,25000,"39,885.49",Anwar,45 days,109328694515009
CN-02654,Modern Engineering Consultants,0595901356,10000,"46.717,76",Rakesh,45 days,158136570907192
CN-02655,Emirates Construction Co,0553009512,,27875.06,Rakesh,Cash,141778048270830
CN-02656,Falcon Maintenance Co,0559805940,25000,54984.12,Mahmoud,60 days,159008207334015
CN-02657,Al Manara MEP Services,0589794871,50000,AED 27751.84,Rakesh,COD,152189034004402
CN-02658,Al Reem Real Estate Development,0537942653,,35754.35,Anwar,60 days,195306832088067
CN-02659,Emirates Trading Est,0521966862,25000,"15,327.71",Khaled,60 days,172734738725008
CN-02660,Oasis Fit-out Co,0524158428,100000,"36.055,66",Rakesh,COD,135680074770948
CN-02661,Al Reem Builders LLC,0526824303,100000,7104.44,Mahmoud,30 days,109754680967652
CN-02662,Al Manara Real Estate Development,0523829004,100000,25135.42,Mahmoud,90 days,
CN-02663,Emirates Maintenance Co,0559522582,10000,AED 26397.04,Mahmoud,30 days,167369037974364
CN-02664,Gulf Real Estate Development,0574965062,,52795.41,Suresh,30 days,156290049218244
CN-02665,Desert Engineering Consultants,0591968617,50000,"18,139.31",Mahmoud,60 days,
CN-02666,National Engineering Consultants,0539923781,50000,"31.964,41",Rakesh,90 days,140855265332366
CN-02667,Capital Maintenance Co,0553387868,,12538.16,Rakesh,60 days,127573715562173
CN-02668,Falcon Engineering Consultants,0590590159,100000,52968.42,Rakesh,90 days,164340075380835
CN-02669,Emirates Trading Est,0543573122,10000,AED 35983.89,Suresh,30 days,153807494666586
CN-02670,Meraas Fit-out Co,0516774834,,52237.36,Joseph,30 days,
CN-02671,Al Reem Builders LLC,0561740551,,"27,389.80",Joseph,45 days,108756023460610
CN-02672,Al Reem Maintenance Co,0557697660,10000,"24.546,81",Suresh,45 days,123586990374436
CN-02673,Desert Contracting LLC,0592489354,25000,41769.97,Mahmoud,COD,147935320485036
CN-02674,Union Interiors LLC,0527917397,50000,43471.52,Mahmoud,90 days,137978021254169
CN-02675,Marina Fit-out Co,0563405190,25000,AED 16605.82,Rakesh,COD,120740062761265
CN-02676,Emirates Builders LLC,0572253983,,58689.19,Khaled,30 days,
CN-02677,Modern Real Estate Development,0555028711,,"23,816.42",Khaled,Cash,152924925286446
CN-02678,Oasis Real Estate Development,0566136882,10000,"9.015,15",Mahmoud,45 days,160840067442366
CN-02679,Desert MEP Services,0550068103,100000,39372.08,Joseph,45 days,185584528923395
CN-02680,Gulf Maintenance Co,0593767135,10000,43704.81,Anwar,30 days,107595706089558
CN-02681,Falcon Engineering Consultants,0532808735,50000,AED 40562.56,Anwar,90 days,122327420538220
CN-02682,Pearl Builders LLC,0536468412,100000,58301.43,Khaled,90 days,186184441860245
CN-02683,Marina Interiors LLC,0557175731,50000,"11,103.17",Suresh,45 days,153373239606176
CN-02684,Al Manara Engineering Consultants,0544034579,100000,"911,57",Joseph,60 days,147912557617103
CN-02685,Gulf Construction Co,0521107060,10000,44696.89,Rakesh,Cash,154326139170150
CN-02686,Prime Contracting LLC,0579223547,25000,42253.80,Anwar,45 days,103104139134423
CN-02687,Emirates Trading Est,0525339253,,AED 56797.26,Mahmoud,30 days,159080978775132
CN-02688,Falcon Fit-out Co,0524422716,100000,44558.68,Anwar,COD,
CN-02689,Oasis Fit-out Co,0539025225,50000,"50,830.43",Anwar,90 days,140775798279414
CN-02690,Capital Trading Est,0516070019,100000,"12.170,83",Rakesh,45 days,185420300372372
CN-02691,Reliable MEP Services,0553067404,,54005.90,Khaled,Cash,161494864472236
CN-02692,Oasis Maintenance Co,0535269001,10000,-,Mahmoud,60 days,181913670679986
CN-02693,Falcon Interiors LLC,0575719814,25000,AED 28882.68,Joseph,60 days,165923752144238
CN-02694,Desert Trading Est,0598133288,10000,36433.48,Anwar,COD,120684978542033
CN-02695,Modern Construction Co,0542930467,25000,"36,190.56",Rakesh,45 days,195021901435553
CN-02696,Al Reem Real Estate Development,0512414862,,"54.443,78",Anwar,30 days,158679964421578
CN-02697,Emirates Trading Est,0591773422,10000,20153.37,Joseph,Cash,197738364876838
CN-02698,Pearl Real Estate Development,0559373885,25000,41041.78,Anwar,90 days,177120758031305
CN-02699,Gulf Real Estate Development,0554131566,10000,AED 36724.79,Rakesh,90 days,103636983096681
CN-02700,Meraas Interiors LLC,0575620775,25000,10712.75,Rakesh,30 days,
CN-02701,Pearl Trading Est,0582542826,50000,"34,694.80",Anwar,30 days,156635876723281
CN-02702,Union Contracting LLC,0579285767,100000,"20.114,80",Suresh,60 days,146783497291281
CN-02703,Capital Interiors LLC,0513694308,100000,9114.38,Mahmoud,30 days,189838921668191
CN-02704,Meraas Fit-out Co,0553201684,10000,7466.01,Anwar,45 days,145330195055366
CN-02705,Modern Real Estate Development,0532803787,100000,AED 54399.97,Anwar,30 days,142143053418675
CN-02706,Pearl MEP Services,0523291122,10000,49194.32,Suresh,30 days,125911102491680
CN-02707,Falcon Maintenance Co,0585245917,,"24,567.00",Anwar,90 days,197697331210659
CN-02708,Marina MEP Services,0592527962,,"59.013,71",Khaled,30 days,109624586200413
CN-02709,Falcon Construction Co,0599186134,,56102.78,Anwar,90 days,
CN-02710,Marina MEP Services,0535100751,50000,10350.93,Mahmoud,30 days,
CN-02711,Marina Trading Est,0575309684,100000,AED 33982.67,Rakesh,60 days,123562118221006
CN-02712,Union Trading Est,0548112682,10000,25752.19,Mahmoud,90 days,197099460285778
CN-02713,Al Manara Builders LLC,0537148182,100000,"9,553.42",Mahmoud,COD,114528434437712
CN-02714,Modern MEP Services,0512324334,100000,"20.437,48",Joseph,Cash,142745157233972
CN-02715,Desert Fit-out Co,0597927037,100000,5587.49,Anwar,30 days,192700301632058
CN-02716,Al Reem Contracting LLC,0563175780,25000,49039.90,Joseph,45 days,175327679791269
CN-02717,Meraas MEP Services,0511073509,,AED 43802.68,Khaled,30 days,143735170679078
CN-02718,Gulf Real Estate Development,0527100856,,698.05,Suresh,COD,130411956146488
CN-02719,Emirates Real Estate Development,0574297291,50000,"32,023.21",Mahmoud,90 days,162826500433796
CN-02720,Al Reem Builders LLC,0510250789,100000,"6.353,59",Joseph,Cash,141041270757725
CN-02721,Meraas Contracting LLC,0569791406,50000,2781.18,Joseph,45 days,117765955849259
CN-02722,Al Reem Interiors LLC,0594801482,,31037.42,Anwar,COD,145693237116904
CN-02723,Al Reem Fit-out Co,0539015166,50000,AED 22591.70,Mahmoud,90 days,184617043729543
CN-02724,Pearl MEP Services,0549592442,10000,32233.94,Mahmoud,90 days,118055063509511
CN-02725,Meraas Builders LLC,0520167591,25000,"20,419.31",Suresh,45 days,193414838042460
CN-02726,Desert Construction Co,0531836641,10000,"24.511,95",Mahmoud,60 days,
CN-02727,Al Manara Construction Co,0585349257,100000,23401.06,Khaled,60 days,154308974474003
CN-02728,Capital Maintenance Co,0564749308,100000,-,Mahmoud,45 days,
CN-02729,Reliable Engineering Consultants,0564589098,100000,AED 7721.35,Anwar,Cash,154781715664754
CN-02730,Al Reem Real Estate Development,0521573885,,7411.44,Joseph,90 days,111570734822280
CN-02731,Pearl MEP Services,0528840358,25000,"13,270.01",Suresh,60 days,
CN-02732,Oasis Maintenance Co,0565583913,100000,"1.219,74",Joseph,45 days,116843605707404
CN-02733,Reliable Interiors LLC,0591066956,100000,45124.47,Joseph,30 days,157313823864329
CN-02734,Prime Trading Est,0518424535,25000,23128.89,Mahmoud,60 days,193245821231703
CN-02735,Al Manara MEP Services,0540620016,100000,AED 10979.03,Khaled,90 days,197429065676070
CN-02736,Reliable Interiors LLC,0520705759,50000,40433.11,Anwar,Cash,
CN-02737,Emirates Maintenance Co,0521219385,10000,"16,138.55",Rakesh,90 days,115616598407165
CN-02738,Desert Interiors LLC,0568151139,100000,"13.887,82",Mahmoud,COD,147572111247682
CN-02739,National Trading Est,0599685154,100000,49675.13,Anwar,Cash,
CN-02740,Al Manara Contracting LLC,0559047543,100000,55326.78,Anwar,Cash,156042317746559
CN-02741,Modern Maintenance Co,0516330353,100000,AED 53837.99,Joseph,30 days,
CN-02742,Emirates MEP Services,0582807074,,42085.35,Rakesh,Cash,131925586692373
CN-02743,Reliable Fit-out Co,0582320486,50000,"41,883.69",Suresh,90 days,133366312700643
CN-02744,Al Manara Builders LLC,0575553236,10000,"17.491,28",Khaled,COD,131277047605505
CN-02745,Al Reem Real Estate Development,0535315438,,639.08,Anwar,60 days,173271215474548
CN-02746,Meraas Engineering Consultants,0550929291,100000,13757.18,Joseph,45 days,138273165911999
CN-02747,Emirates Real Estate Development,0587342963,10000,AED 55545.03,Anwar,Cash,189467101867709
CN-02748,Meraas Construction Co,0529866491,50000,14091.40,Anwar,30 days,199067933749751
CN-02749,Pearl Maintenance Co,0581254051,50000,"3,363.03",Rakesh,60 days,139050792286337
CN-02750,Al Manara Builders LLC,0597309872,100000,"52.669,48",Suresh,60 days,196439837165357
