namePrimary,nameSecondary,sku,barcode,categoryCode,taxGroup,trackingType,cost,sellPrice,baseUnit,brand,partNumber,reorderLevel,valuationMethod,wholesalePrice
Ingco Vernier Caliper 18 Gauge,,HW-102814,6324465365119,CAT089,,none,11.268,16.922,PCS,Ingco,ING-79328,5,wac,13.471
Metabo Common Nail Medium,مسامير Medium,HW-102815,6382482275887,CAT025,,none,1.835,KD 2.200,pcs,,MET-82701,'15,fifo,2.093
Skil Steel Chain 1L,سلاسل 1L,HW-102816,6872474012241,CAT079,,none,14.907,20.430,PCS,Skil,SKI-16746,20,fifo,17.458
Yato Angle Grinder 3/8 inch,صنفرة زاوية 3/8 inch,HW-102817,6239887917803,CAT003,,none,24.429,KWD 30.416,PCS,Yato,YAT-48360,20,wac,26.513
Sata Epoxy Adhesive 1/4 inch,إيبوكسي 1/4 inch,HW-102818,6445355122908,CAT060,,batch,0.409,0.616,PCS,Sata,SAT-37860,10,wac,0.460
DeWalt Tile Adhesive Bag 1kg,لاصق بلاط 1kg,HW-102819,6490432857783,CAT071,,none,14.735,20.411,PCS,DeWalt,DEW-40833,10,wac,17.209
Stanley Sandpaper Sheet 2000W,ورق صنفرة 2000W,HW-102820,6181961112721,CAT064,,none,2.383,3.683,Pieces,,STA-81960,20,wac,2.663
Gulf Star Vernier Caliper XL  ,,HW-100204,6188146325404,CAT089,,none,12.588,17.000,PCS,Gulf Star,GUL-31090,50,wac,14.727
Makita Wood Screw 10mm,,HW-102822,6755849682324,CAT019,,none,4.132,5.938,PCS,Makita,MAK-30214,10,wac,4.773
Truper Extension Cord 4L,وصلات كهرباء 4L,HW-102823,6264471903255,CAT042,,none,8.209,10.545,PCS,Truper,TRU-87195,10,wac,9.105
"Gulf Star PPR Pipe 50kg,",مواسير بي بي آر 50kg,HW-102824,6242907613959,CAT031,,none,3.794,5.578,PCS,Gulf Star,,10,wac,4.342
Stanley Garden Cart 50kg,عربات حديقة 50kg,HW-102825,6498898124276,CAT084,,none,24.066,34.172,PCS,Stanley,STA-4083,25,wac,26.274
Skil Tool Kit 20L Pieces,طقم عدة 20L,HW-102826,6370101142756,CAT016,,none,5.116,6.631,PCS,Skil,SKI-47731,20,wac,6.139
Sata Pvc Pipe 50Kg,مواسير بي في سي 50kg,HW-102827,6615667686734,CAT029,,none,3.348,4.080,pcs,Sata,SAT-13150,5,wac,KWD 3.754
Total Plastic Water Tank 3/4 inch,خزانات مياه 3/4 inch,HW-102828,6363605120038,CAT034,,none,170.839,238.650,PCS,Total,TOT-46679,20,fifo,203.717
DeWalt Vernier Caliper 24 Gauge,فرجار قياس 24 Gauge,HW-102829,6268406830927,CAT089,,none,19.293,28.739,PCS,DeWalt,DEW-8452,50,wac,21.823
Total Flat Screwdriver 20L,مفكات 20L,HW-102830,6896159398331,CAT011,,none,16.323,20.489,PCS,Total,TOT-10188,10,wac,17.909
Crown Combination Wrench 1/4 inch,مفاتيح ربط 1/4 inch,HW-102831,6627963619116,CAT010,,none,2.733,4.046,PCS,Crown,CRO-96615,50,wac,3.159
TRUPER WALL PLUG XL,مثبتات جدارية XL,HW-102832,6416233220732,CAT024,,none,KD 6.382,9.381,PCS,Truper,TRU-25539,10,wac,6.920
Hilti Welding Mask 4L,ملحقات لحام 4L,HW-102833,6313691288719,CAT096,,none,13.998,KD 20.843,PCS,Hilti,HIL-97573,20,fifo,16.449
skil padlock 750w,أقفال 750W,HW-102834,6292218083734,CAT076,,none,1.315,1.982,PCS,Skil,SKI-76804,50,wac,1.533
Crown Work Gloves 20 Gauge,قفازات 20 Gauge,HW-102835,6140170278064,CAT052,,none,22.357,28.112,PCS,Crown,CRO-25142,10,wac,26.375
 Metabo Ball Valve 900W .,صمامات 900W,HW-102836,6660624075656,CAT032,,none,8.677,12.139,PCS,Metabo,MET-65295,20,wac,9.852
Black+Decker Concrete Nail 5kg,مسامير 5kg,HW-102837,6273700277807,CAT025,,none,27.278,32.377,PCS,Black+Decker,BLA-3885,25,fifo,32.492
Hilti Jigsaw 3/4 inch,مناشير منحنية 3/4 inch,HW-102838,6886234563661,CAT005,,none,18.250,KWD 25.953,PCS,Hilti,HIL-92061,10,fifo,21.822
Stanley Wire Brush 1kg,فرش سلك 1kg,HW-102839,6932699670670,CAT067,,none,12.877,16.370,PCS,Stanley,STA-64769,5,wac,15.218
Sata Cement Bag 50kg,أسمنت وملاط 50kg,HW-102840,6279989521108,CAT069,,none,4.342,5.157,PCS,Sata,SAT-96185,50,wac,KWD 5.145
DEWALT ALUMINIUM LADDER 4L,,HW-102841,6669841377649,CAT091,,none,KWD 8.775,12.257,PCS,DeWalt,DEW-48502,5,wac,10.225
Total Laser Level 10kg  ,,HW-102842,6546771718477,CAT088,,none,19.258,26.477,PCS,Total,TOT-26373,5,wac,20.822
Yato Sandpaper Sheet 2000W.,ورق صنفرة 2000W,HW-102843,6339522075769,CAT064,,none,8.201,12.037,PCS,Yato,YAT-26779,25,wac,9.440
Hitachi Silicone Sealant Tube 5kg,,HW-102844,6365428929368,CAT058,,batch,18.185,22.956,PCS,Hitachi,HIT-6413,25,wac,20.192
Stanley ARC Welding Machine 1/2 inch,ماكينات لحام 1/2 inch,HW-102845,6643424867160,CAT008,,none,17.129,24.760,PCS,Stanley,STA-73700,50,wac,19.464
Metabo Garden Cart 1 inch,عربات حديقة 1 inch,HW-102846,6512372557073,CAT084,,none,12.084,15.557,PCS,Metabo,MET-56565,10,fifo,14.432
Makita MIG Welder XL,ماكينات لحام XL,HW-102847,6509303014642,CAT008,,none,14.960,21.941,PCS,Makita,MAK-79530,50,wac,17.926
Bosch Door Handle 3/4 inch,مقابض أبواب 3/4 inch,HW-102848,6549925192665,CAT077,,none,0.364,0.487,PCS,,BOS-60441,50,wac,0.431
Ingco Combination Pliers XL,,HW-102849,6152736461722,CAT012,,none,17.422,26.589,PCS,Ingco,ING-10384,25,wac,19.247
Total Combination Wrench 1kg,مفاتيح ربط 1kg,HW-102850,6303527904418,CAT010,,none,13.553,19.980,pcs,Total,TOT-27009,15,wac,15.850
Black+Decker Extension Cord 1/4 inch,وصلات كهرباء 1/4 inch,HW-102851,6683542818003,CAT042,,none,18.253,KD 25.710,PCS,Black+Decker,BLA-34732,50,wac,20.060
Stanley Hex Nut 10kg,صواميل وبراغي 10kg,HW-102852,6235226832450,CAT022,,none,23.389,34.533,PCS,Stanley,STA-41705,25,wac,26.197
Makita Flood Light 9L,إنارة 9L,HW-102853,6109969817841,CAT040,,none,17.697,22.101,PCS,Makita,MAK-91088,'10,wac,19.277
Hitachi Copper Tee 8mm,وصلات نحاس 8mm,HW-102854,6964288845922,CAT030,,none,18.433,21.975,PCS,Hitachi,HIT-18862,'50,wac,KWD 21.396
Metabo Copper Tee 12mm,وصلات نحاس 12mm,HW-102855,6640463548243,CAT030,,none,20.687,25.129,PCS,Metabo,MET-67343,15,wac,23.005
Total Aluminium Ladder 1200W,سلالم ألمنيوم 1200W,HW-102856,6326800566482,CAT091,,none,23.317,33.981,PCS,Total,TOT-98250,20,wac,27.182
Black+Decker Super Glue 9L,لاصق سريع 9L,HW-102857,6440897041615,CAT061,,batch,13.272,KD 19.485,pcs,Black+Decker,BLA-85684,50,wac,14.909
SATA DOOR HANDLE 3/8 INCH,مقابض أبواب 3/8 inch,HW-102858,6848373210689,CAT077,,none,19.713,26.331,PCS,Sata,SAT-27670,5,wac,21.409
Makita Garden Cart Small,عربات حديقة Small,HW-102859,6992724495288,CAT084,,none,13.476,18.167,PCS,Makita,MAK-25279,25,fifo,15.406
Al-Fanar Flood Light 25kg,,HW-102860,6332637515584,CAT040,,none,8.116,11.442,PCS,Al-Fanar,AL--89948,20,fifo,9.617
Tolsen Copper Tee XL,وصلات نحاس XL,HW-102861,6644652880954,CAT030,,none,1.972,2.687,PCS,Tolsen,,10,wac,2.272
 Sata PU Foam Filler 50kg ,رغوة عازلة 50kg,HW-102862,6999585084748,CAT062,,batch,23.458,29.021,PCS,,SAT-64802,'25,fifo,26.482
Hitachi Platform Ladder 450W,سلالم منصة 450W,HW-102863,6682637543801,CAT093,,none,10.358,14.845,Pieces,Hitachi,HIT-23349,25,wac,11.971
Yato Step Stool 4L,,HW-102864,6355091753021,CAT092,,none,14.931,18.505,PCS,Yato,YAT-25367,5,wac,16.812
GULF  STAR PPR PIPE 5KG,مواسير بي بي آر 5kg,HW-102865,6355857582381,CAT031,,none,4.541,5.391,PCS,Gulf Star,GUL-25656,5,fifo,5.396
Ridgid Hi-Vis Safety Vest 1kg,سترات عاكسة 1kg,HW-102866,6382548999952,CAT055,,none,8.457,11.726,PCS,Ridgid,RID-71886,50,wac,KD 9.536
Truper PVC Conduit Pipe 1/2 inch,مواسير كهرباء 1/2 inch,HW-102867,6517084168521,CAT041,,none,0.560,0.772,pc,Truper,TRU-64088,10,wac,0.665
Total Laser Level 16 Gauge,ميزان ليزر 16 Gauge,HW-102868,6957042424339,CAT088,,none,13.015,16.156,pcs,,TOT-71781,20,wac,14.184
Sata Cordless Drill 1200W,,HW-102869,6425704866744,CAT002,,none,24.930,31.307,PCS,Sata,SAT-34245,20,wac,29.516
 Al-Fanar Padlock 10mm ,أقفال 10mm,HW-102870,6915474153233,CAT076,,none,3.539,4.901,PC,Al-Fanar,AL--45249,20,fifo,4.129
Karcher Garden Shovel 18 Gauge,مجارف 18 Gauge,HW-102871,6556250147502,CAT081,,none,10.744,13.805,PCS,Karcher,KAR-4383,15,wac,12.193
Skil Vernier Caliper 1L,فرجار قياس 1L,HW-102872,6383609065141,CAT089,,none,22.959,28.456,Pieces,Skil,SKI-65337,15,fifo,25.077
Hilti Welding Electrode XL,أسياخ لحام XL,HW-102873,6443772511195,CAT095,,none,3.486,5.268,Pieces,Hilti,,10,fifo,3.988
Gulf Star Pop Rivet 12mm,مسامير برشام 12mm,HW-102874,6819439755484,CAT026,,none,KD 296.869,407.437,PCS,Gulf Star,GUL-8638,20,wac,KWD 327.199
Hitachi Emulsion Paint 10kg,دهان مائي 10kg,HW-102875,6112192832647,CAT044,,batch,7.723,9.483,pcs,Hitachi,HIT-74359,5,wac,8.964
  Stanley Step Stool 50kg,مقاعد درج 50kg,HW-102876,6691138779520,CAT092,,none,23.596,28.440,PCS,Stanley,STA-61985,10,wac,25.801
Karcher Flexible Wire XL,كابلات وأسلاك XL,HW-102877,6181146262880,CAT037,,none,1.149,KWD 1.700,PCS,Karcher,KAR-93904,10,fifo,1.287
 Karcher Construction Adhesive 24 Gauge ,لاصق إنشائي 24 Gauge,HW-102878,6748742109537,CAT059,,batch,5.460,7.471,PCS,Karcher,KAR-10605,'15,wac,6.380
Makita Common Nail 24 Gauge,,HW-102879,6838290737694,CAT025,,none,24.620,35.481,PCS,Makita,MAK-37818,25,fifo,27.430
Makita Padlock 4L,أقفال 4L,HW-102880,6466978615379,CAT076,,none,14.100,19.749,PCS,Makita,MAK-27149,50,fifo,15.858
  Al-Fanar Common Nail 1kg,مسامير 1kg,HW-102881,6995099184164,CAT025,,none,6.189,8.272,PCS,Al-Fanar,AL--10086,20,wac,6.921
Karcher Super Glue Medium,لاصق سريع Medium,HW-102882,6545820445783,CAT061,,batch,23.245,34.746,PCS,Karcher,KAR-52595,15,wac,27.542
Bosch MIG Welder 9L,ماكينات لحام 9L,HW-102883,6481380058577,CAT008,,none,20.647,26.542,Nos,Bosch,,25,wac,23.384
Al-Fanar Welding Gloves 50kg,ملحقات لحام 50kg,HW-102884,6917808234806,CAT096,,none,22.444,26.730,PCS,Al-Fanar,AL--11633,15,wac,25.539
ridgid sprinkler head 25kg,خراطيم ورشاشات 25kg,HW-102885,6686294933449,CAT082,,none,1.242,1.744,PCS,Ridgid,RID-96323,15,wac,1.366
Hilti Wall Plug 50kg  ,مثبتات جدارية 50kg,HW-102886,6474303393319,CAT024,,none,10.084,14.197,pc,Hilti,HIL-16167,15,wac,11.245
Karcher Super Glue 22 Gauge,,HW-102887,6668271004022,CAT061,,batch,17.833,25.321,PCS,Karcher,KAR-16820,15,wac,19.874
Hilti Wood Screw 25kg.,براغي خشب 25kg,HW-102888,6896338784208,CAT019,,none,1.098,1.412,PCS,Hilti,HIL-1161,10,wac,1.209
Gulf Star Laser Level XL,ميزان ليزر XL,HW-102889,6744147017052,CAT088,,none,1.227,1.644,PCS,Gulf Star,GUL-45915,20,fifo,1.342
Ingco Wood Chisel 750W,إزميل 750W,HW-102890,6796518118279,CAT015,,none,KWD 5.071,7.561,PCS,Ingco,ING-49307,10,wac,5.730
Hilti Wall Primer 25kg,برايمر 25kg,HW-102891,6879082940030,CAT046,,batch,7.969,9.827,PCS,Hilti,HIL-30112,25,wac,9.283
Skil Wood Screw 900W,براغي خشب 900W,HW-102892,6637717632784,CAT019,,none,13.198,15.715,PC,Skil,SKI-46133,20,wac,15.274
Sata Safety Goggles 1500W,,HW-102893,6533222274653,CAT054,,none,0.746,1.005,PCS,Sata,SAT-26525,25,wac,0.834
Gulf Star Rubber Mallet 16 Gauge,مطارق 16 Gauge,HW-102894,6875497771755,CAT013,,none,24.786,36.120,PCS,Gulf Star,,20,wac,26.864
Crown Wood Screw XL,براغي خشب XL,HW-102895,6963786927671,CAT019,,none,0.342,0.524,PCS,Crown,,10,wac,0.402
Sata Impact Driver 18 Gauge,مثاقب 18 Gauge,HW-102896,6110589256282,CAT002,,none,KWD 5.952,7.778,Nos,Sata,SAT-68503,20,fifo,KWD 6.508
Karcher Epoxy Adhesive 18L,إيبوكسي 18L,HW-102897,6131795982548,CAT060,,batch,0.785,1.075,PCS,Karcher,KAR-8509,20,wac,KWD 0.885
Karcher Jigsaw 4L,مناشير منحنية 4L,HW-102898,6282680848866,CAT005,,none,16.043,24.127,PCS,Karcher,KAR-19029,5,fifo,18.766
Ridgid Aluminium Ladder 450W.,سلالم ألمنيوم 450W,HW-102899,6649806365865,CAT091,,none,2.599,4.027,PCS,Ridgid,RID-4856,5,wac,KD 3.106
Total Spring Washer Large,,HW-102900,6879762385106,CAT023,,none,13.193,17.662,PCS,Total,TOT-63874,20,wac,14.680
Total Self Tapping Screw 1/2 inch,براغي ذاتية التنصيت 1/2 inch,HW-102901,6828047198092,CAT021,,none,5.719,8.130,PCS,Total,,'25,wac,6.323
Black+Decker Pop Rivet 10kg,مسامير برشام 10kg,HW-102902,6375456270235,CAT026,,none,5.401,7.561,PCS,Black+Decker,BLA-3208,50,wac,KD 6.330
Makita Long Nose Pliers 5kg,زرادية 5kg,HW-102903,6774763991831,CAT012,,none,22.909,29.685,PCS,Makita,,10,wac,26.144
Skil Flood Light 12mm,إنارة 12mm,HW-102904,6841241587179,CAT040,,none,4.481,5.837,PCS,Skil,SKI-74105,50,wac,4.979
Metabo Hi-Vis Safety Vest 4L,سترات عاكسة 4L,HW-102905,6262878079154,CAT055,,none,20.992,28.694,PCS,Metabo,MET-82120,15,fifo,24.004
Crown Super Glue 900W,لاصق سريع 900W,HW-102906,6194139943838,CAT061,,batch,9.685,14.083,PC,Crown,CRO-88107,10,wac,10.852
HITACHI LASER LEVEL 4L,ميزان ليزر 4L,HW-102907,6908942136638,CAT088,,none,10.878,15.329,PCS,Hitachi,HIT-69220,50,wac,12.999
Black+Decker  Welding Mask 20 Gauge,ملحقات لحام 20 Gauge,HW-102908,6809072003784,CAT096,,none,21.164,28.747,Pieces,Black+Decker,BLA-81910,25,fifo,23.063
DeWalt Jigsaw 750W,مناشير منحنية 750W,HW-102909,6847143860626,CAT005,,none,1.946,2.611,PCS,DeWalt,DEW-93638,'5,fifo,2.183
Black+Decker Door Lock 9L,أقفال 9L,HW-102910,6961487241663,CAT076,,none,19.905,28.766,pc,Black+Decker,BLA-60253,'10,wac,23.862
Hitachi Wall Primer 50mm,برايمر 50mm,HW-102911,6859986502826,CAT046,,batch,137.640,199.925,pcs,Hitachi,HIT-19366,15,wac,158.835
Al-Fanar Welding Mask Small,,HW-102912,6888952249827,CAT096,,none,KWD 20.282,KD 31.203,PCS,Al-Fanar,AL--15763,20,wac,23.774
Stanley Combination Wrench 450W,,HW-102913,6604246019435,CAT010,,none,20.228,27.595,PCS,Stanley,,25,wac,23.302
Hilti Circular Saw 50kg,مناشير دائرية 50kg,HW-102914,6431036859475,CAT004,,none,1.027,1.588,PCS,Hilti,HIL-95232,10,wac,1.212
Stanley  Concrete Nail XL,مسامير XL,HW-102915,6613355120034,CAT025,,none,21.273,28.675,PCS,Stanley,STA-55779,15,wac,23.754
SATA PVC PIPE 9L,مواسير بي في سي 9L,HW-102097,6124439400414,CAT029,,none,17.927,23.591,PCS,Sata,SAT-8945,25,fifo,KD 20.084
Ingco Hex Bolt XL,صواميل وبراغي XL,HW-102917,6309058414623,CAT022,,none,160.648,237.484,PCS,Ingco,,10,wac,178.816
Yato Garden Cart 10mm,,HW-102918,6913046380445,CAT084,,none,24.430,35.570,PCS,Yato,YAT-46264,'5,wac,28.733
Ingco Step Stool 1 Inch.,مقاعد درج 1 inch,HW-102919,6644421763108,CAT092,,none,15.479,19.207,Pieces,Ingco,ING-31332,50,wac,17.751
Tolsen Wood Router 1/2 inch,مسويات وروترات 1/2 inch,HW-102920,6771918965970,CAT006,,none,72.837,105.656,PCS,Tolsen,TOL-23489,25,wac,79.945
Al-Fanar Dust Mask Respirator 40mm,,HW-102921,6192186116096,CAT056,,none,2.058,2.628,PCS,Al-Fanar,AL--2127,50,fifo,2.237
Black+Decker  Work Gloves 900W,قفازات 900W,HW-102922,6284979433421,CAT052,,none,243.867,354.262,PCS,Black+Decker,BLA-96223,10,fifo,283.270
Ingco Cutting Disc 22 Gauge,أقراص قطع 22 Gauge,HW-102923,6693361721995,CAT066,,none,12.466,KWD 18.441,PCS,Ingco,ING-51124,15,fifo,14.582
Makita Door Lock 1L,,HW-102924,6998585283538,CAT076,,none,9.621,12.214,PCS,Makita,MAK-71892,25,wac,10.516
Gulf Star ARC Welding Machine 4L,,HW-102925,6177933540408,CAT008,,none,13.659,17.753,PCS,Gulf Star,GUL-53537,10,wac,15.139
Black+Decker Combination Wrench 1/2 inch,مفاتيح ربط 1/2 inch,HW-102926,6612935485668,CAT010,,none,10.125,12.787,pcs,Black+Decker,BLA-43418,10,wac,11.573
Truper Construction Adhesive 2000W,,HW-102927,6426755307884,CAT059,,batch,23.807,36.447,PCS,Truper,TRU-21707,15,fifo,KWD 27.560
Stanley Wood Screw 1kg,براغي خشب 1kg,HW-102928,6498074815046,CAT019,,none,245.451,320.623,PCS,Stanley,STA-92625,'25,fifo,288.426
Al-Fanar Step Stool 20mm,,HW-102929,6212494160253,CAT092,,none,19.118,26.579,Nos,Al-Fanar,AL--98478,50,wac,22.364
Metabo Wall Primer 3/8 inch,برايمر 3/8 inch,HW-102930,6687235432558,CAT046,,batch,16.507,23.736,Pieces,Metabo,MET-17474,25,wac,19.249
Bosch Enamel Paint 1/2 inch,دهان زيتي 1/2 inch,HW-102931,6314370529234,CAT045,,batch,14.836,KWD 22.486,PCS,Bosch,BOS-80077,10,wac,16.844
DeWalt Paint Thinner 1500W,تنر 1500W,HW-101978,6777787663194,CAT049,,batch,1.159,1.580,pcs,DeWalt,DEW-44619,25,wac,1.342
  hitachi safety goggles 40mm,نظارات واقية 40mm,HW-102933,6765125132444,CAT054,,none,8.885,13.225,PCS,Hitachi,HIT-63469,15,wac,10.143
Tolsen Welding Gloves 25mm,,HW-102934,6872474946396,CAT096,,none,KD 24.180,29.569,Nos,Tolsen,TOL-91205,10,wac,27.206
Hitachi Mini Grinder 8Mm,صنفرة زاوية 8mm,HW-102935,6758178186212,CAT003,,none,7.464,10.507,PCS,Hitachi,HIT-3016,20,fifo,KD 8.186
Yato Self Tapping Screw 20 Gauge,,HW-102936,6474489903186,CAT021,,none,17.912,22.909,PCS,Yato,YAT-11601,25,wac,20.538
Ingco Silicone Sealant Tube 22 Gauge,سيليكون 22 Gauge,HW-102937,6276605589408,CAT058,,batch,9.324,14.434,Nos,,ING-78606,10,wac,10.128
Truper Plastic Water Tank 5kg,,HW-102938,6677961136769,CAT034,,none,KWD 18.439,KWD 26.169,PCS,Truper,TRU-62008,50,wac,21.965
sata jigsaw 1 inch,مناشير منحنية 1 inch,HW-102939,6788735710307,CAT005,,none,19.641,26.646,PCS,Sata,SAT-26145,15,wac,22.388
Truper Plastic Water Tank 1/4 inch,خزانات مياه 1/4 inch,HW-102940,6248101478737,CAT034,,none,20.109,23.761,PCS,Truper,,'15,wac,23.650
Stanley Super Glue 20L,لاصق سريع 20L,HW-102941,6720004069967,CAT061,,batch,11.935,KD 15.092,Nos,Stanley,,20,wac,KWD 13.394
Tolsen Common Nail 2000W,,HW-102942,6341435380132,CAT025,,none,5.931,KWD 7.591,PCS,Tolsen,TOL-52223,20,fifo,6.584
Truper Construction Adhesive 1/2 inch,لاصق إنشائي 1/2 inch,HW-102943,6847639155768,CAT059,,batch,12.872,17.644,Pieces,Truper,TRU-11979,25,wac,14.712
DeWalt Door Hinge 3/8 inch,مفصلات أبواب 3/8 inch,HW-102944,6174803402997,CAT075,,none,24.904,31.543,pc,DeWalt,DEW-1839,50,wac,29.499
Ridgid Locking Pliers 50kg,زرادية 50kg,HW-102945,6204574616218,CAT012,,none,3.943,4.802,PCS,Ridgid,,5,wac,4.446
Tolsen Spring Washer 750W,حلقات 750W,HW-102946,6258184363735,CAT023,,none,14.431,20.644,PC,Tolsen,TOL-90115,20,wac,16.279
Karcher Machine Screw 10kg,براغي آلات 10kg,HW-102947,6362226457082,CAT020,,none,20.154,24.885,PCS,Karcher,KAR-46332,50,fifo,22.895
Gulf Star Hi-Vis Safety Vest Small,سترات عاكسة Small,HW-102948,6605202767986,CAT055,,none,23.543,31.968,PCS,Gulf Star,GUL-59749,20,wac,26.086
Total Dust Mask Respirator 1L,,HW-102949,6262415800167,CAT056,,none,6.430,9.715,PCS,Total,TOT-82169,20,wac,7.308
Yato Electrical Cable 1/2 inch,كابلات وأسلاك 1/2 inch,HW-102950,6119797546215,CAT037,,none,9.006,12.826,PCS,Yato,YAT-29615,10,wac,9.861
Sata ARC Welding Machine 4L,,HW-102951,6463778326539,CAT008,,none,12.088,15.099,PCS,Sata,,25,fifo,13.775
Total Wheelbarrow Medium,,HW-102952,6579110053502,CAT073,,none,KD 6.669,8.511,PCS,Total,TOT-49909,15,fifo,7.842
Yato Wire Brush 20L,فرش سلك 20L,HW-102953,6529258025116,CAT067,,none,KWD 22.508,33.911,PCS,Yato,,25,wac,24.705
Total Wood Screw 40mm,براغي خشب 40mm,HW-102954,6260817122952,CAT019,,none,21.807,26.180,PCS,Total,TOT-59394,25,wac,23.605
Sata Door Hinge 9L,مفصلات أبواب 9L,HW-102955,6387987511166,CAT075,,none,10.106,12.494,PCS,Sata,SAT-49540,25,wac,12.034
Hitachi PVC Pipe 20L,مواسير بي في سي 20L,HW-102956,6312955483273,CAT029,,none,2.467,3.636,PCS,Hitachi,HIT-85804,20,wac,2.927
AL-FANAR CONSTRUCTION ADHESIVE 16 GAUGE,لاصق إنشائي 16 Gauge,HW-102957,6541004776449,CAT059,,batch,18.035,23.200,PCS,Al-Fanar,AL--43134,20,wac,20.471
Ridgid  PVC Pipe 2000W,مواسير بي في سي 2000W,HW-102958,6710809547805,CAT029,,none,3.572,4.866,PCS,Ridgid,RID-49313,10,wac,4.176
Hitachi Extension Cord 1/2 inch,,HW-102959,6995199131401,CAT042,,none,6.267,7.637,PCS,Hitachi,HIT-58833,20,wac,6.787
Sata Pop Rivet 750W,مسامير برشام 750W,HW-102960,6446407410186,CAT026,,none,294.146,437.101,PCS,Sata,SAT-46313,15,fifo,337.633
Tolsen Portable Generator 50mm,,HW-102961,6370099387689,CAT007,,none,15.935,23.745,PCS,Tolsen,TOL-16695,25,wac,17.316
Hilti Steel Toe Safety Boots Small,أحذية سلامة Small,HW-102962,6599756166076,CAT053,,none,11.430,16.419,PCS,Hilti,HIL-30091,50,fifo,12.764
Gulf Star Wheelbarrow 5kg,عربات يدوية 5kg,HW-102963,6856281548413,CAT073,,none,3.377,4.115,PCS,Gulf Star,,25,fifo,3.861
Crown Phillips Screwdriver 20 Gauge,مفكات 20 Gauge,HW-102964,6987011521805,CAT011,,none,12.754,19.487,PCS,Crown,CRO-37497,10,fifo,14.116
Skil MIG Welder 5kg,,HW-102965,6148616335005,CAT008,,none,9.645,13.565,PCS,Skil,SKI-46652,20,wac,10.827
Makita Flat Washer 20L,حلقات 20L,HW-102966,6780081267267,CAT023,,none,13.529,16.014,Pieces,Makita,MAK-15539,50,wac,15.107
BOSCH COMBINATION WRENCH 900W  ,مفاتيح ربط 900W,HW-102967,6743556081293,CAT010,,none,18.094,KD 26.895,PCS,Bosch,,25,fifo,20.010
Crown Paint Brush 5kg,فرش ورولات 5kg,HW-102968,6599914247284,CAT048,,none,5.538,7.890,PCS,Crown,CRO-67152,50,wac,6.099
 Al-Fanar Thermal Insulation Sheet 1 inch ,عزل 1 inch,HW-102969,6548367989757,CAT070,,none,3.528,5.429,Pieces,Al-Fanar,,20,wac,4.014
 Yato PPR Pipe 750W ,مواسير بي بي آر 750W,HW-102970,6742172454016,CAT031,,none,11.828,14.871,PCS,Yato,,25,wac,13.870
Hilti Electric Planer 9L,,HW-102971,6584635390510,CAT006,,none,18.774,24.708,PCS,Hilti,HIL-98932,50,wac,20.602
Gulf Star PU Foam Filler 6mm,,HW-102972,6831988704334,CAT062,,batch,19.550,26.465,PCS,Gulf Star,GUL-38984,5,wac,KWD 22.968
Hilti Ball Valve 25mm,صمامات 25mm,HW-102973,6713432350822,CAT032,,none,23.381,31.052,PCS,Hilti,HIL-63931,10,fifo,26.045
Truper Paint Thinner 650W,تنر 650W,HW-102974,6892974999167,CAT049,,batch,14.151,16.986,PCS,Truper,TRU-89761,5,wac,KWD 16.073
Hitachi Aluminium Ladder 1/4 inch,,HW-102975,6576855437973,CAT091,,none,15.579,19.015,PCS,Hitachi,HIT-93605,5,wac,17.820
Stanley Paint Thinner 450W,تنر 450W,HW-102976,6950890195370,CAT049,,batch,24.825,34.464,PCS,Stanley,STA-74526,'20,wac,KWD 26.865
Metabo Work Gloves Small,قفازات Small,HW-102977,6508427220962,CAT052,,none,13.309,16.233,pc,Metabo,MET-35217,20,fifo,KWD 14.977
Black+Decker Wood Router 18 Gauge,مسويات وروترات 18 Gauge,HW-102978,6779260398350,CAT006,,none,21.338,25.812,PCS,Black+Decker,BLA-62558,50,wac,24.910
Yato Construction Adhesive 750W,لاصق إنشائي 750W,HW-102979,6859689386355,CAT059,,batch,16.397,23.279,PCS,Yato,YAT-85036,15,wac,18.554
Metabo Wall Primer 10kg,برايمر 10kg,HW-102980,6679946482493,CAT046,,batch,7.883,11.669,Pieces,Metabo,MET-58971,'5,fifo,8.841
Ingco Electrical Cable Medium,كابلات وأسلاك Medium,HW-102981,6933548440341,CAT037,,none,3.572,5.136,PCS,Ingco,ING-39473,15,wac,3.867
DeWalt Wall Plug 8mm,مثبتات جدارية 8mm,HW-102982,6926466690215,CAT024,,none,KD 14.482,18.750,PCS,DeWalt,DEW-8905,20,fifo,16.100
Stanley Self Tapping Screw 18 Gauge,براغي ذاتية التنصيت 18 Gauge,HW-102983,6788377452799,CAT021,,none,KD 78.352,106.498,PCS,Stanley,,15,wac,87.183
Gulf Star Paint Brush 900W,فرش ورولات 900W,HW-102984,6680956205268,CAT048,,none,12.555,16.660,PCS,Gulf Star,GUL-86973,50,wac,13.989
Total Door Lock 18 Gauge,أقفال 18 Gauge,HW-102985,6389635796961,CAT076,,none,19.633,30.205,PCS,Total,TOT-30408,50,wac,21.645
Truper Scaffolding Frame 32mm,سقالات 32mm,HW-102986,6397774125072,CAT072,,none,KD 110.488,146.914,PCS,Truper,TRU-65241,10,wac,124.401
