Account No,Customer Name,Phone,Credit Limit,Outstanding Balance,Salesman,Payment Terms
CN-02013,United Interiors,95655671,,2631.46,Suresh,45 days
CN-02014,Falcon Workshop,63979332,10000,3880.00,Rakesh,45 days
CN-02015,Al Rai Engineering,66597032,5000,KWD 2292.49,Rakesh,Cash
CN-02016,Salmi Real Estate,52530724,1000,45.57,Joseph,45 days
CN-02017,Burgan Maintenance Co,52623973,2500,757.39,Mahmoud,60 days
CN-02018,Modern Trading Est,55278949,5000,"137,68",Anwar,60 days
CN-02019,Reliable Workshop,55723659,,730.24,Anwar,45 days
CN-02020,Burgan Maintenance Co,53558919,10000,972.79,Khaled,30 days
CN-02021,Fahad Real Estate,68427554,2500,KWD 836.51,Anwar,COD
CN-02022,Gulf Trading Est,98995357,5000,3383.34,Suresh,60 days
CN-02023,Desert Builders,66485088,1000,"2,052.36",Rakesh,45 days
CN-02024,Reliable Engineering,55855562,1000,"3.603,97",Suresh,Cash
CN-02025,Salmi Maintenance Co,64956248,1000,2475.49,Rakesh,90 days
CN-02026,Oasis Maintenance Co,58166920,1000,242.60,Suresh,COD
CN-02027,Fahad Workshop,93589835,5000,KWD 2570.91,Rakesh,60 days
CN-02028,Desert MEP Services,97593708,,3238.29,Mahmoud,COD
CN-02029,Modern Real Estate,91022786,,"2,722.27",Mahmoud,Cash
CN-02030,Al Manar Construction,66613264,10000,"3.589,25",Rakesh,30 days
CN-02031,Salmi Builders,57884552,,3301.35,Joseph,45 days
CN-02032,National Interiors,67728329,10000,1643.42,Suresh,COD
CN-02033,Oasis Workshop,98860287,10000,KWD 3141.81,Mahmoud,30 days
CN-02034,Falcon Construction,51334046,2500,1246.64,Rakesh,90 days
CN-02035,Al Manar Real Estate,92582297,5000,"3,961.27",Anwar,60 days
CN-02036,Al Rai Maintenance Co,66451863,,"3.184,00",Rakesh,30 days
CN-02037,Gulf Interiors,65576309,,1372.17,Joseph,Cash
CN-02038,Burgan Contracting Co,56850717,2500,2085.07,Mahmoud,45 days
CN-02039,Gulf Construction,57402811,1000,KWD 1564.40,Anwar,30 days
CN-02040,National Real Estate,57446615,5000,20.73,Anwar,45 days
CN-02041,Burgan Real Estate,94943502,2500,"2,271.50",Mahmoud,45 days
CN-02042,Capital Real Estate,59700181,10000,"610,26",Khaled,COD
CN-02043,Capital Trading Est,56911082,10000,3051.51,Rakesh,COD
CN-02044,Falcon MEP Services,57552567,5000,2021.23,Suresh,45 days
CN-02045,Pearl MEP Services,94493072,1000,KWD 1007.16,Mahmoud,90 days
CN-02046,Reliable Interiors,94244773,,1087.23,Suresh,45 days
CN-02047,Mubarak Interiors,95831854,,722.77,Suresh,90 days
CN-02048,Sabah Workshop,68756852,2500,"1.455,12",Mahmoud,Cash
CN-02049,Al Rai Interiors,56805262,1000,2814.55,Anwar,45 days
CN-02050,Sabah MEP Services,53891873,,3699.61,Khaled,45 days
CN-02051,Marina Workshop,62162706,2500,KWD 2401.87,Joseph,90 days
CN-02052,Al Manar Builders,57908943,2500,3697.56,Rakesh,90 days
CN-02053,Desert Workshop,55020200,1000,"3,777.84",Anwar,Cash
CN-02054,United Engineering,56553313,5000,"2.230,46",Anwar,COD
CN-02055,Sabah Maintenance Co,53967404,1000,3420.87,Anwar,45 days
CN-02056,Falcon Contracting Co,51593418,1000,3670.19,Rakesh,45 days
CN-02057,United Engineering,52979282,2500,KWD 2435.63,Suresh,Cash
CN-02058,Al Manar Construction,63350586,1000,2945.95,Rakesh,30 days
CN-02059,Modern Builders,99394895,,"1,889.69",Joseph,60 days
CN-02060,Reliable Maintenance Co,56916694,10000,"1.516,55",Suresh,COD
CN-02061,Mubarak Construction,54338147,1000,1100.05,Khaled,60 days
CN-02062,Al Rai Trading Est,52348918,1000,1773.07,Joseph,COD
CN-02063,United MEP Services,63122414,2500,KWD 1994.75,Rakesh,90 days
CN-02064,National Builders,92904822,1000,147.54,Joseph,90 days
CN-02065,Mubarak Builders,62174687,5000,654.11,Khaled,Cash
CN-02066,United Real Estate,51858713,10000,"567,40",Khaled,60 days
CN-02067,Fahad Workshop,97779483,10000,1245.37,Anwar,30 days
CN-02068,Al Rai MEP Services,62780647,1000,2352.97,Anwar,30 days
CN-02069,Gulf Contracting Co,99986114,2500,KWD 933.98,Suresh,Cash
CN-02070,Gulf Builders,94276702,2500,3801.91,Rakesh,90 days
CN-02071,United Contracting Co,59606072,5000,244.86,Rakesh,Cash
CN-02072,Kazma Construction,96891130,5000,"2.044,53",Joseph,60 days
CN-02073,Fahad Real Estate,68470236,,2203.67,Anwar,COD
CN-02074,Pearl Contracting Co,52402003,1000,842.36,Rakesh,30 days
CN-02075,Mubarak Engineering,64745291,2500,KWD 1022.09,Mahmoud,90 days
CN-02076,Al Rai Real Estate,97648838,2500,2976.98,Joseph,60 days
CN-02077,Prime Real Estate,96606020,,"1,965.07",Khaled,60 days
CN-02078,Prime Engineering,97127944,,"3.568,27",Rakesh,30 days
CN-02079,Salmi Trading Est,57983332,5000,3317.99,Khaled,Cash
CN-02080,Falcon MEP Services,52605086,,1000.87,Anwar,90 days
CN-02081,Al Manar Maintenance Co,93267893,10000,KWD 3136.43,Joseph,COD
CN-02082,Mubarak Engineering,67573224,10000,1445.52,Rakesh,COD
CN-02083,Al Manar Contracting Co,99444074,,266.20,Joseph,90 days
CN-02084,National Builders,54653446,10000,"1.384,51",Suresh,45 days
CN-02085,Pearl Real Estate,69395167,2500,1577.50,Anwar,Cash
CN-02086,Burgan Real Estate,53044046,1000,3460.11,Khaled,90 days
CN-02087,Al Manar Engineering,97294613,5000,KWD 2816.01,Anwar,45 days
CN-02088,Kazma Workshop,69404147,1000,2038.09,Anwar,60 days
CN-02089,Oasis Trading Est,57043430,,"3,760.69",Anwar,45 days
CN-02090,Mubarak MEP Services,93591517,5000,"38,71",Khaled,COD
CN-02091,Modern Trading Est,58143318,5000,1895.08,Suresh,30 days
CN-02092,United Contracting Co,56521786,,3593.84,Joseph,30 days
CN-02093,Burgan Interiors,59799959,1000,KWD 2346.14,Rakesh,45 days
CN-02094,Desert Contracting Co,95171719,5000,3435.44,Joseph,COD
CN-02095,Modern Real Estate,96479556,1000,"1,237.84",Joseph,30 days
CN-02096,Al Rai Engineering,94955103,10000,"1.672,07",Joseph,90 days
CN-02097,Sabah Interiors,64933112,5000,2944.19,Joseph,COD
CN-02098,National Builders,59893623,2500,2631.86,Mahmoud,60 days
CN-02099,Marina MEP Services,65692633,2500,KWD 1652.90,Suresh,30 days
CN-02100,Al Rai Interiors,52121040,1000,2268.85,Anwar,90 days
CN-02101,Sabah MEP Services,66060666,1000,"1,078.97",Rakesh,COD
CN-02102,Reliable Contracting Co,55398893,,"636,91",Khaled,30 days
CN-02103,Salmi MEP Services,64503851,2500,2758.80,Joseph,60 days
CN-02104,Pearl Real Estate,97470924,2500,3299.23,Anwar,60 days
CN-02105,Salmi Interiors,52499022,1000,KWD 1246.69,Joseph,30 days
CN-02106,National Trading Est,97032742,5000,1839.71,Rakesh,Cash
CN-02107,Mubarak Builders,59318490,2500,"3,076.51",Suresh,45 days
CN-02108,National MEP Services,53828082,5000,"441,14",Khaled,90 days
CN-02109,Pearl MEP Services,52926976,2500,1616.05,Rakesh,90 days
CN-02110,Gulf Builders,68476985,5000,3034.77,Suresh,30 days
CN-02111,Al Rai Workshop,65216084,2500,KWD 2540.76,Anwar,Cash
CN-02112,Burgan Builders,96083961,1000,3560.45,Anwar,90 days
CN-02113,Reliable Builders,93420236,10000,"1,751.15",Suresh,60 days
CN-02114,Modern Maintenance Co,94394502,1000,"3.916,02",Mahmoud,COD
CN-02115,Pearl Contracting Co,53566944,,1688.65,Anwar,45 days
CN-02116,Al Rai MEP Services,92419162,1000,3144.08,Rakesh,90 days
CN-02117,Gulf Trading Est,59281713,1000,KWD 2470.63,Mahmoud,30 days
CN-02118,Desert Construction,91355755,10000,1181.90,Suresh,30 days
CN-02119,Pearl Engineering,69728860,10000,"3,423.54",Anwar,30 days
CN-02120,Oasis Workshop,94771377,,"602,56",Mahmoud,60 days
CN-02121,Modern Builders,51833522,10000,8.52,Joseph,COD
CN-02122,Pearl Construction,96311533,2500,-,Khaled,45 days
CN-02123,Kazma MEP Services,65992486,1000,KWD 3704.62,Rakesh,30 days
CN-02124,Sabah Trading Est,54236875,5000,882.29,Rakesh,Cash
CN-02125,Modern Builders,98566347,2500,615.67,Joseph,90 days
CN-02126,Oasis Workshop,98927418,10000,"3.454,46",Mahmoud,Cash
CN-02127,Al Rai Builders,63273907,10000,1684.87,Anwar,45 days
CN-02128,Al Manar Builders,69306622,5000,331.05,Khaled,90 days
CN-02129,Reliable Maintenance Co,52092656,1000,KWD 335.62,Suresh,Cash
CN-02130,Desert Interiors,54059657,5000,3172.96,Rakesh,45 days
CN-02131,Capital Trading Est,66870860,2500,"1,343.84",Anwar,90 days
CN-02132,National Construction,94024478,10000,"1.782,49",Joseph,60 days
CN-02133,Gulf Engineering,67087340,10000,1049.27,Rakesh,Cash
CN-02134,Burgan Builders,65348714,2500,2660.53,Khaled,60 days
CN-02135,Oasis Interiors,62070086,10000,KWD 305.03,Anwar,COD
CN-02136,Desert MEP Services,65941229,,835.92,Mahmoud,30 days
CN-02137,Mubarak Construction,65562157,10000,"2,793.06",Suresh,COD
CN-02138,National Interiors,55473909,10000,"3.545,15",Mahmoud,45 days
CN-02139,Pearl Builders,54322652,5000,3421.13,Rakesh,Cash
CN-02140,United Maintenance Co,54694288,10000,1385.88,Rakesh,30 days
CN-02141,Gulf Engineering,63002662,10000,KWD 1902.56,Mahmoud,Cash
CN-02142,Fahad Builders,55512775,5000,1926.41,Mahmoud,Cash
CN-02143,Al Rai Contracting Co,96368397,5000,"2,230.29",Joseph,Cash
CN-02144,Al Manar Trading Est,57934667,1000,"168,02",Rakesh,45 days
CN-02145,Pearl Real Estate,64301324,10000,2750.91,Suresh,90 days
CN-02146,Salmi Trading Est,68555541,10000,1141.78,Suresh,90 days
CN-02147,Capital Trading Est,97646137,5000,KWD 3926.61,Mahmoud,Cash
CN-02148,Modern Contracting Co,92355004,1000,3416.79,Mahmoud,Cash
CN-02149,Falcon Trading Est,92026053,5000,"2,717.67",Rakesh,COD
CN-02150,Al Rai Interiors,61946147,5000,"2.294,38",Joseph,Cash
CN-02151,Pearl Contracting Co,54834009,2500,2864.76,Rakesh,Cash
CN-02152,Reliable Workshop,65554231,10000,2658.78,Anwar,60 days
CN-02153,United Interiors,69954258,5000,KWD 3450.61,Suresh,45 days
CN-02154,Oasis Workshop,68082611,,3683.74,Khaled,30 days
CN-02155,Kazma Real Estate,69520887,5000,"3,380.87",Anwar,90 days
CN-02156,Gulf Workshop,92137656,2500,"2.877,34",Khaled,30 days
CN-02157,Salmi Interiors,54464807,5000,2043.24,Mahmoud,Cash
CN-02158,Sabah Workshop,95069306,5000,1596.99,Suresh,60 days
CN-02159,Salmi Contracting Co,56047084,10000,KWD 2847.19,Mahmoud,COD
CN-02160,Gulf Contracting Co,64670165,5000,1957.27,Khaled,60 days
CN-02161,Gulf Contracting Co,52133618,10000,117.93,Joseph,30 days
CN-02162,Modern Interiors,59559661,,"3.689,65",Joseph,COD
CN-02163,Oasis Engineering,66218507,5000,862.96,Khaled,90 days
CN-02164,Al Rai Engineering,58195427,1000,1398.40,Suresh,COD
CN-02165,Burgan Workshop,98720008,10000,KWD 1638.62,Suresh,45 days
CN-02166,Al Rai Engineering,67394245,10000,860.45,Joseph,Cash
CN-02167,Reliable Construction,57213666,1000,866.79,Khaled,45 days
CN-02168,Fahad Maintenance Co,66569779,,"2.841,36",Suresh,Cash
CN-02169,Modern MEP Services,94633004,1000,2247.45,Khaled,COD
CN-02170,Al Manar Workshop,94118237,5000,345.40,Khaled,COD
CN-02171,Marina Maintenance Co,97383078,10000,KWD 405.90,Anwar,90 days
CN-02172,United Contracting Co,96760330,,2872.95,Joseph,60 days
CN-02173,Desert Construction,54226295,1000,"2,341.44",Khaled,COD
CN-02174,Capital Interiors,96028706,,"894,88",Suresh,30 days
CN-02175,Sabah Builders,95229890,10000,3583.84,Rakesh,45 days
CN-02176,Fahad Builders,63738419,,2390.80,Anwar,30 days
CN-02177,Modern Engineering,94409495,2500,KWD 2085.55,Joseph,COD
CN-02178,Salmi Contracting Co,64043169,10000,1755.48,Joseph,COD
CN-02179,Kazma Trading Est,69175690,1000,"3,067.31",Khaled,30 days
CN-02180,Sabah Contracting Co,68649685,10000,"1.898,77",Suresh,90 days
CN-02181,Al Rai Contracting Co,95399691,2500,833.76,Rakesh,30 days
CN-02182,Reliable Interiors,99858292,5000,1859.37,Suresh,COD
CN-02183,Falcon Trading Est,95128788,5000,KWD 1303.11,Rakesh,COD
CN-02184,Mubarak Real Estate,68227759,1000,2459.06,Suresh,30 days
CN-02185,Burgan Builders,94959835,5000,"3,191.34",Suresh,COD
CN-02186,Sabah Trading Est,67279725,10000,"3.178,68",Suresh,Cash
CN-02187,Prime Maintenance Co,65212992,10000,2459.77,Suresh,60 days
CN-02188,Al Rai Interiors,93911198,2500,3599.56,Mahmoud,30 days
CN-02189,Sabah Maintenance Co,64286465,5000,KWD 3024.83,Rakesh,45 days
CN-02190,Modern Builders,91409953,5000,1773.15,Khaled,Cash
CN-02191,Mubarak Interiors,97760767,10000,"2,100.17",Suresh,COD
CN-02192,Al Manar Contracting Co,98365851,1000,"3.631,43",Suresh,COD
CN-02193,Salmi Engineering,94666803,5000,730.49,Mahmoud,60 days
CN-02194,Capital Real Estate,92162725,5000,1607.83,Suresh,30 days
CN-02195,National Maintenance Co,96515509,5000,KWD 2623.50,Khaled,60 days
CN-02196,Desert Engineering,96828023,10000,2242.71,Rakesh,60 days
CN-02197,Marina MEP Services,63025268,2500,"2,079.98",Khaled,COD
CN-02198,Burgan Trading Est,96583600,10000,"3.100,19",Mahmoud,Cash
CN-02199,Gulf Contracting Co,68657492,2500,2604.04,Khaled,Cash
CN-02200,Sabah Contracting Co,57461812,5000,776.85,Mahmoud,COD
CN-02201,Mubarak MEP Services,63620463,1000,KWD 1226.25,Suresh,30 days
CN-02202,Gulf Construction,56410275,10000,3639.66,Joseph,30 days
CN-02203,Oasis MEP Services,63384096,2500,962.51,Anwar,60 days
CN-02204,Pearl Construction,59603649,5000,"2.315,51",Joseph,60 days
CN-02205,Pearl Interiors,65747378,1000,974.28,Rakesh,90 days
CN-02206,Modern Interiors,93358356,5000,1488.78,Rakesh,Cash
CN-02207,National MEP Services,56436064,10000,KWD 2469.86,Anwar,90 days
CN-02208,Reliable Construction,57860820,2500,64.08,Rakesh,30 days
CN-02209,Marina Trading Est,95244958,2500,"2,392.67",Suresh,COD
CN-02210,Pearl Interiors,67090695,5000,"1.548,74",Khaled,30 days
CN-02211,Oasis MEP Services,55848336,10000,1172.23,Rakesh,45 days
CN-02212,Fahad Contracting Co,53396707,2500,324.83,Joseph,Cash
CN-02213,Kazma Workshop,93843074,10000,KWD 2214.49,Khaled,90 days
CN-02214,Oasis MEP Services,61998644,1000,3270.44,Khaled,45 days
CN-02215,Pearl Real Estate,65578294,2500,"2,278.06",Mahmoud,60 days
CN-02216,Sabah Trading Est,68743519,,"691,88",Suresh,60 days
CN-02217,Marina MEP Services,94125334,1000,1281.95,Suresh,30 days
CN-02218,Marina MEP Services,57505255,2500,1174.27,Rakesh,90 days
CN-02219,Falcon Contracting Co,96857251,5000,KWD 1797.88,Anwar,Cash
CN-02220,Capital Builders,99987319,10000,946.06,Joseph,45 days
CN-02221,Burgan Builders,61619884,,"3,165.09",Rakesh,30 days
CN-02222,Reliable Builders,59202877,10000,"2.998,10",Rakesh,30 days
CN-02223,Kazma Maintenance Co,54700852,10000,2735.37,Khaled,90 days
CN-02224,Sabah Trading Est,67718269,1000,714.45,Khaled,60 days
CN-02225,Mubarak Builders,91962692,5000,KWD 3974.74,Khaled,30 days
CN-02226,Al Rai Maintenance Co,64888729,5000,2371.06,Rakesh,60 days
CN-02227,Oasis Real Estate,94833506,10000,"1,999.03",Suresh,30 days
CN-02228,Al Rai MEP Services,61628465,,"560,75",Anwar,90 days
CN-02229,Capital Interiors,57632628,5000,1578.79,Rakesh,COD
CN-02230,Falcon Workshop,61827735,,315.81,Joseph,45 days
CN-02231,National Builders,97938119,,KWD 3458.78,Anwar,60 days
CN-02232,Oasis Construction,68926707,10000,2445.43,Mahmoud,COD
CN-02233,Capital Maintenance Co,68081160,,"3,838.30",Mahmoud,45 days
CN-02234,Prime Builders,52677278,10000,"376,87",Rakesh,45 days
CN-02235,Kazma Builders,58255145,2500,3907.29,Anwar,60 days
CN-02236,Burgan Construction,52386633,,2332.31,Mahmoud,90 days
CN-02237,Al Manar Contracting Co,56922993,,KWD 3673.91,Suresh,90 days
CN-02238,Fahad Engineering,62599292,5000,2727.35,Anwar,Cash
CN-02239,National Builders,51180130,2500,"3,992.36",Anwar,90 days
CN-02240,Pearl MEP Services,52474549,10000,"2.601,02",Joseph,COD
CN-02241,Al Rai MEP Services,67907947,1000,2827.84,Anwar,60 days
CN-02242,Kazma Contracting Co,51324395,1000,1710.74,Mahmoud,45 days
CN-02243,Desert Construction,51261734,1000,KWD 1825.40,Mahmoud,60 days
CN-02244,Pearl Engineering,52011168,5000,51.66,Khaled,Cash
CN-02245,Mubarak Construction,91591536,2500,"1,136.64",Mahmoud,COD
CN-02246,Modern Real Estate,61226731,10000,"3.040,47",Khaled,90 days
CN-02247,Marina Construction,61785764,5000,3333.99,Rakesh,45 days
CN-02248,Burgan Contracting Co,65862531,10000,771.82,Joseph,45 days
CN-02249,National Workshop,99844178,1000,KWD 2943.08,Joseph,30 days
CN-02250,Mubarak Interiors,58747312,10000,2865.27,Rakesh,COD
CN-02251,Marina Engineering,96846137,,"3,331.10",Mahmoud,90 days
CN-02252,Prime Trading Est,57344139,,"2.320,81",Joseph,30 days
CN-02253,Al Manar Engineering,91637839,,2192.10,Khaled,COD
CN-02254,Modern Engineering,62550108,5000,2466.97,Khaled,60 days
CN-02255,Al Manar Real Estate,59224423,2500,KWD 349.37,Suresh,90 days
CN-02256,Prime Engineering,69607252,10000,3364.92,Khaled,90 days
CN-02257,Prime Construction,54703929,10000,212.55,Mahmoud,COD
CN-02258,National Real Estate,92400190,10000,"1.943,62",Suresh,Cash
CN-02259,Salmi Construction,52835284,,253.88,Suresh,Cash
CN-02260,Marina Workshop,92777821,2500,3265.99,Anwar,COD
CN-02261,Modern Maintenance Co,94013009,2500,KWD 3981.44,Suresh,COD
CN-02262,Reliable Maintenance Co,98205004,,964.64,Khaled,90 days
CN-02263,Modern Construction,64512165,5000,"1,949.97",Joseph,90 days
CN-02264,Capital Construction,99033790,10000,"1.659,13",Khaled,30 days
CN-02265,Al Rai Real Estate,61161160,1000,682.35,Rakesh,60 days
CN-02266,Falcon Builders,62445973,2500,579.70,Mahmoud,90 days
CN-02267,Pearl Interiors,64819658,1000,KWD 3535.47,Anwar,60 days
CN-02268,Marina Interiors,91708991,2500,1204.47,Khaled,60 days
CN-02269,Falcon Trading Est,98866725,2500,657.04,Khaled,45 days
CN-02270,Al Manar Construction,55920670,10000,"2.616,37",Mahmoud,30 days
CN-02271,Burgan Contracting Co,95694313,5000,802.67,Anwar,Cash
CN-02272,Fahad Maintenance Co,59652499,1000,754.56,Suresh,COD
CN-02273,Fahad Builders,95499363,10000,KWD 2568.79,Suresh,60 days
CN-02274,Sabah Trading Est,52034604,5000,3978.86,Mahmoud,90 days
CN-02275,Pearl Maintenance Co,58002884,1000,"2,782.10",Rakesh,90 days
CN-02276,Burgan Construction,51771796,10000,"3.628,05",Mahmoud,60 days
CN-02277,Gulf Workshop,96801291,1000,3080.30,Anwar,90 days
CN-02278,Salmi Builders,54191205,,2932.32,Khaled,45 days
CN-02279,Modern Interiors,64876216,2500,KWD 3687.20,Khaled,30 days
CN-02280,Gulf Contracting Co,63751294,5000,1598.79,Joseph,COD
CN-02281,Kazma Construction,61679143,1000,"3,903.61",Mahmoud,45 days
CN-02282,Kazma Interiors,69741559,,"617,16",Khaled,45 days
CN-02283,Modern Contracting Co,65284427,,3809.49,Suresh,Cash
CN-02284,Al Rai MEP Services,56307588,2500,509.38,Khaled,45 days
CN-02285,Reliable Contracting Co,96651295,5000,KWD 564.41,Joseph,90 days
CN-02286,Al Rai MEP Services,61063309,,3750.11,Rakesh,60 days
CN-02287,Falcon Real Estate,55783396,,278.65,Anwar,45 days
CN-02288,Marina MEP Services,92914032,,"692,35",Suresh,30 days
CN-02289,Al Rai Maintenance Co,95379103,2500,2068.49,Khaled,30 days
CN-02290,Gulf Trading Est,65277111,2500,405.67,Mahmoud,45 days
CN-02291,Kazma Contracting Co,57616644,10000,KWD 3393.04,Joseph,45 days
CN-02292,Burgan Maintenance Co,65858721,5000,3848.23,Khaled,Cash
CN-02293,National Construction,55119653,1000,"2,433.75",Anwar,30 days
CN-02294,Al Manar Trading Est,56140378,1000,"3.277,51",Rakesh,COD
CN-02295,National Engineering,65371381,1000,3860.11,Mahmoud,Cash
CN-02296,Marina Builders,91959483,10000,3362.96,Mahmoud,90 days
CN-02297,Marina Maintenance Co,63838485,5000,KWD 207.17,Joseph,45 days
CN-02298,Mubarak Contracting Co,51985331,2500,3439.05,Mahmoud,Cash
CN-02299,Desert Contracting Co,63318070,,"2,969.36",Anwar,60 days
CN-02300,Mubarak Construction,68217508,5000,"3.150,91",Anwar,30 days
CN-02301,Reliable Workshop,63424860,,3496.00,Khaled,60 days
CN-02302,Oasis Interiors,99579170,10000,628.21,Anwar,45 days
CN-02303,Prime Workshop,94626239,10000,KWD 170.94,Joseph,30 days
CN-02304,National Workshop,52559303,10000,3099.92,Mahmoud,Cash
CN-02305,Salmi Workshop,63704047,,602.59,Khaled,90 days
CN-02306,United Engineering,57172881,1000,"141,65",Joseph,Cash
CN-02307,Oasis Maintenance Co,59152256,1000,1995.62,Mahmoud,60 days
CN-02308,Capital Builders,53613668,10000,1799.48,Suresh,Cash
CN-02309,Al Rai Workshop,51645732,1000,KWD 2141.78,Anwar,Cash
CN-02310,Modern Trading Est,65138029,1000,3794.09,Rakesh,30 days
CN-02311,Burgan Engineering,58402582,,"1,453.73",Joseph,Cash
CN-02312,Pearl Interiors,95675011,5000,"1.610,30",Rakesh,COD
CN-02313,Fahad Engineering,57261953,10000,1505.59,Suresh,45 days
CN-02314,Reliable Interiors,94594493,2500,863.11,Suresh,30 days
CN-02315,Al Manar Maintenance Co,57426420,10000,KWD 2297.90,Anwar,COD
CN-02316,Desert MEP Services,67649690,,3549.34,Joseph,30 days
CN-02317,Mubarak Engineering,56751615,10000,"1,447.16",Suresh,COD
CN-02318,Gulf MEP Services,51585716,5000,"2.434,43",Joseph,30 days
CN-02319,Al Manar MEP Services,94743820,5000,3035.33,Anwar,30 days
CN-02320,Kazma Maintenance Co,64431531,,1394.24,Mahmoud,COD
CN-02321,Al Manar Workshop,94035941,,KWD 753.70,Joseph,90 days
CN-02322,Capital Engineering,51136710,1000,3937.69,Joseph,45 days
CN-02323,Kazma Workshop,65450532,5000,"3,741.02",Mahmoud,60 days
CN-02324,Mubarak Trading Est,62932517,10000,"1.215,19",Suresh,60 days
CN-02325,Mubarak Real Estate,95157424,1000,787.22,Rakesh,30 days
CN-02326,Modern Engineering,63781475,,715.44,Rakesh,90 days
CN-02327,Falcon Engineering,68376534,1000,KWD 3548.07,Rakesh,30 days
CN-02328,Al Rai MEP Services,66929023,5000,3231.72,Khaled,30 days
CN-02329,Burgan Construction,63829046,5000,916.44,Rakesh,90 days
CN-02330,Oasis Real Estate,64271464,1000,"2.538,80",Khaled,60 days
CN-02331,Capital Interiors,59307052,10000,1999.25,Anwar,COD
CN-02332,Sabah Trading Est,98889928,,999.04,Mahmoud,COD
CN-02333,Al Rai Builders,95055208,2500,KWD 1399.18,Anwar,60 days
CN-02334,Capital Builders,53536793,2500,3370.44,Rakesh,90 days
CN-02335,Salmi MEP Services,58168939,2500,"3,845.62",Joseph,90 days
CN-02336,Fahad Builders,55731110,10000,"650,11",Khaled,90 days
CN-02337,Kazma Interiors,63190627,10000,1736.78,Mahmoud,30 days
CN-02338,Falcon Real Estate,92701425,5000,2366.74,Rakesh,60 days
CN-02339,Mubarak Workshop,57811572,,KWD 2512.25,Suresh,Cash
CN-02340,Pearl Contracting Co,67809813,1000,1000.13,Rakesh,Cash
CN-02341,Falcon Builders,61813042,1000,"3,016.85",Suresh,90 days
CN-02342,Falcon Workshop,98407407,5000,"3.393,94",Suresh,60 days
CN-02343,Prime Real Estate,57564722,1000,139.02,Suresh,Cash
CN-02344,Al Rai Contracting Co,61128217,5000,3206.60,Rakesh,COD
CN-02345,United Construction,96421702,,KWD 168.27,Mahmoud,COD
CN-02346,Sabah Contracting Co,54806031,1000,854.37,Mahmoud,90 days
CN-02347,Marina Engineering,92740796,1000,"3,558.18",Khaled,45 days
CN-02348,Gulf Maintenance Co,99511160,1000,"22,50",Joseph,45 days
CN-02349,Fahad Real Estate,91476077,10000,3953.50,Rakesh,Cash
CN-02350,Burgan Trading Est,68033851,5000,3894.80,Rakesh,Cash
CN-02351,National Contracting Co,69494702,10000,KWD 1807.63,Mahmoud,60 days
CN-02352,Al Manar Construction,63854207,1000,686.72,Anwar,30 days
CN-02353,Mubarak Construction,56431419,2500,"1,266.13",Anwar,45 days
CN-02354,Sabah Trading Est,52569368,1000,"1.441,98",Khaled,45 days
CN-02355,Salmi Construction,61377967,2500,3055.48,Suresh,30 days
CN-02356,Salmi Engineering,55498590,2500,2398.90,Mahmoud,Cash
CN-02357,Mubarak Real Estate,99190924,5000,KWD 1954.80,Suresh,COD
CN-02358,Oasis Builders,95770878,5000,2040.56,Joseph,30 days
CN-02359,Al Manar Contracting Co,63950426,5000,"1,636.63",Suresh,45 days
CN-02360,Sabah Real Estate,53235610,10000,"3.528,14",Mahmoud,Cash
CN-02361,Fahad Builders,67440039,5000,862.26,Mahmoud,60 days
CN-02362,Al Rai MEP Services,99645823,5000,3038.11,Rakesh,90 days
CN-02363,Pearl Workshop,95628007,1000,KWD 3766.06,Suresh,90 days
CN-02364,Al Rai Construction,61019837,,1868.98,Mahmoud,60 days
CN-02365,Falcon Builders,59617772,2500,"2,095.38",Joseph,COD
CN-02366,Reliable Builders,64257744,10000,"2.195,09",Mahmoud,COD
CN-02367,Desert Real Estate,61089625,10000,110.78,Anwar,60 days
CN-02368,Falcon Engineering,63904301,1000,1319.24,Mahmoud,Cash
CN-02369,Desert Maintenance Co,67633121,2500,KWD 3742.72,Joseph,45 days
CN-02370,Reliable Construction,68122029,10000,3007.43,Joseph,Cash
CN-02371,Kazma Builders,59175135,2500,830.44,Joseph,60 days
CN-02372,Kazma Workshop,62606370,1000,"739,44",Anwar,Cash
CN-02373,Capital MEP Services,62810574,2500,809.14,Rakesh,COD
CN-02374,Oasis Trading Est,64508437,2500,2619.79,Anwar,60 days
CN-02375,Oasis Construction,95682256,2500,KWD 3024.38,Suresh,90 days
CN-02376,Capital Engineering,59441729,2500,2935.55,Mahmoud,COD
CN-02377,Sabah Engineering,99334479,1000,"3,982.73",Mahmoud,Cash
CN-02378,Salmi Real Estate,67370229,5000,"1.744,49",Rakesh,30 days
CN-02379,Modern Trading Est,69929537,1000,201.03,Suresh,30 days
CN-02380,Fahad Real Estate,64136199,2500,2208.17,Anwar,45 days
CN-02381,Gulf Trading Est,62193484,10000,KWD 859.07,Rakesh,45 days
CN-02382,Salmi Engineering,67042276,2500,1675.54,Suresh,60 days
CN-02383,Sabah Workshop,98144122,2500,"1,538.67",Joseph,45 days
CN-02384,Modern MEP Services,63782057,1000,"2.043,79",Khaled,30 days
CN-02385,Mubarak Trading Est,63646586,,2562.05,Anwar,45 days
CN-02386,Gulf Real Estate,95336990,5000,1628.38,Mahmoud,Cash
